firstName	lastName	shirtNo	birthDate	position	teamID
Aaron	Ramsdale	1	1998/5/14	Goalkeeper	10
Karl	Hein	31	2002/4/13	Goalkeeper	10
David	Raya	22	1995/9/15	Goalkeeper	10
Ben	White	4	1997/10/8	Defender	10
Gabriel	Magalhães	6	1997/12/19	Defender	10
William	Saliba	2	2001/3/24	Defender	10
Jakub	Kiwior	15	2000/2/15	Defender	10
Takehiro	Tomiyasu	18	1998/11/5	Defender	10
Oleksandr	Zinchenko	35	1996/12/15	Defender	10
Jurriën	Timber	12	2001/6/17	Defender	10
James	Sweet	73	2004/11/3	Defender	10
Cédric	Soares	17	1991/8/31	Defender	10
Reuell	Walters	76	2004/12/16	Defender	10
Thomas	Partey	5	1993/6/13	Midfielder	10
Martin	Ødegaard	8	1998/12/17	Midfielder	10
Emile	Smith Rowe	10	2000/7/28	Midfielder	10
	Jorginho	20	1991/12/20	Midfielder	10
Fábio	Vieira	21	2000/5/30	Midfielder	10
Mohamed	Elneny	25	1992/7/11	Midfielder	10
Mauro	Bandeira	41	2004/4/19	Midfielder	10
Bradley	Ibrahim	55	2004/10/21	Midfielder	10
Kai	Havertz	29	1999/6/11	Midfielder	10
Declan	Rice	41	1999/1/14	Midfielder	10
Amario	Cozier-Duberry	45	2005/5/29	Midfielder	10
Bukayo	Saka	7	2001/9/5	Forward	10
Gabriel	Jesus	9	1997/4/3	Forward	10
Gabriel	Martinelli	11	2001/6/18	Forward	10
Eddie	Nketiah	14	1999/5/30	Forward	10
Leandro	Trossard	19	1994/12/4	Forward	10
Reiss	Nelson	24	1999/12/10	Forward	10
Charles	Sagoe	71	2004/7/24	Forward	10
Emiliano	Martínez	1	1992/9/2	Goalkeeper	2
Robin	Olsen	25	1990/1/8	Goalkeeper	2
James	Wright	64	2004/12/2	Goalkeeper	2
Filip	Marschall	42	2003/4/24	Goalkeeper	2
Matty	Cash	2	1997/8/7	Defender	2
Diego	Carlos	3	1993/3/15	Defender	2
Ezri	Konsa	4	1997/10/23	Defender	2
Tyrone	Mings	5	1993/3/13	Defender	2
Álex	Moreno	15	1993/6/8	Defender	2
Calum	Chambers	16	1995/1/20	Defender	2
Lucas	Digne	12	1993/7/20	Defender	2
