rank,team_name,played,win,draw,lose,goals_for,goals_against,goal_diff,points
1,阿森纳,13,9,3,1,25,7,18,30
2,曼城,13,8,1,4,27,12,15,25
3,切尔西,13,7,3,3,24,12,12,24
4,阿斯顿维拉,13,7,3,3,16,11,5,24
5,布莱顿,13,6,4,3,21,16,5,22
6,桑德兰,13,6,4,3,17,13,4,22
7,曼联,13,6,3,4,21,20,1,21
8,利物浦,13,7,0,6,20,20,0,21
9,水晶宫,13,5,5,3,17,11,6,20
10,布伦特福德,13,6,1,6,21,20,1,19
11,伯恩茅斯,13,5,4,4,21,23,-2,19
12,热刺,13,5,3,5,21,16,5,18
13,纽卡斯尔,13,5,3,5,17,16,1,18
14,埃弗顿,13,5,3,5,14,17,-3,18
15,富勒姆,13,5,2,6,15,17,-2,17
16,诺丁汉森林,13,3,3,7,13,22,-9,12
17,西汉姆联,13,3,2,8,15,27,-12,11
18,利兹联,13,3,2,8,13,25,-12,11
19,伯恩利,13,3,1,9,15,27,-12,10
20,狼队,13,0,2,11,7,28,-21,2
